words,K
уютный персонал,0.03672055139163672
пляж который,0.03683403790871028
бронировать,0.036906912801062494
должный,0.037142011332280074
старое,0.03715054323496015
нерв,0.03732151353851365
платить,0.037690284964580135
давать,0.03773245811387636
прийтись,0.03784695629547108
брать полупансион,0.03796929542804618
сказать,0.038287198050185545
оставлять,0.03847066170377124
грязь,0.038567431929420415
хамский,0.03912834206394716
дверь,0.03921262131453325
обещать,0.03948450423044088
полупансион,0.03969136630607882
свой время,0.039872940478490104
короче,0.03989620861075022
отказаться,0.04057194479959656
шок,0.04084692480816515
путёвка,0.04093561728065512
звонить,0.040959171110953936
хамить,0.04183918290102489
отдыхать семья,0.043621714222291795
тратить,0.04380227584727377
потратить,0.04422039432546325
плесень,0.044277711166513536
очередь,0.04587561011701209
понимать,0.04637918454153013
называть,0.04750330497218713
никакой,0.04751724624189794
вместо,0.047701758636641015
километр,0.04777524962551749
запах,0.04835121146370159
столовка,0.05242653025270069
невозможно,0.05369877409687081
плохо,0.05432279225699946
какой,0.05540874905798225
сломать,0.056448917214186906
отсутствовать,0.05647842027437992
старый,0.05703806890948422
отвратный,0.05748689978687392
таракан,0.0648489394023532
ужас,0.06940429607876145
столовый,0.07534069613885172
грязный,0.08026417209731568
отвратительный,0.10124814276248391
ужасный,0.10293088216744395
деньга,0.11173748927483715
