title,area,rating,n_reviews,reference
Графтио Бутик Отель 4*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.83,18,https://tophotels.ru/hotel/al306054/reviews
1913 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.75,24,https://tophotels.ru/hotel/al29955/reviews
Corinthia Hotel St Petersburg 5*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.65,22,https://tophotels.ru/hotel/al17007/reviews
Best Western Plus Centre Hotel 4*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.38,23,https://tophotels.ru/hotel/al38536/reviews
Астерия 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.36,28,https://tophotels.ru/hotel/al32931/reviews
Престиж Отель Центр 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.34,39,https://tophotels.ru/hotel/al27860/reviews
Капитал Отель (Capital Hotel) 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",3.84,39,https://tophotels.ru/hotel/al82786/reviews
Орбита 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",3.77,26,https://tophotels.ru/hotel/al35155/reviews
Хостел Компас на Невском,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.87,19,https://tophotels.ru/hotel/al131006/reviews
Балтия (Baltiya) 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.79,17,https://tophotels.ru/hotel/al56985/reviews
Hotel Pilau 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.57,21,https://tophotels.ru/hotel/al50137/reviews
Park Inn by Radisson Nevsky 4*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.5,19,https://tophotels.ru/hotel/al53833/reviews
Место Силы,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.94,16,https://tophotels.ru/hotel/al283002/reviews
Матисов Домик 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.58,19,https://tophotels.ru/hotel/al30874/reviews
А1 Отель,"Россия, Санкт-Петербургский регион, Санкт-Петербург",5.0,10,https://tophotels.ru/hotel/al308330/reviews
Amaranta Адмиралтейская 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.68,20,https://tophotels.ru/hotel/al17026/reviews
АЛЬТБУРГ на Литейном 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.56,21,https://tophotels.ru/hotel/al31633/reviews
Петро Палас Отель 4*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.54,21,https://tophotels.ru/hotel/al37356/reviews
Residence Hotel & SPA 4*,"Россия, Санкт-Петербургский регион, Санкт-Петербург, Репино",4.23,20,https://tophotels.ru/hotel/al71339/reviews
Счастливый Пушкин 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.0,24,https://tophotels.ru/hotel/al67530/reviews
Отель Парк Крестовский 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",3.8,31,https://tophotels.ru/hotel/al50569/reviews
365 СПб,"Россия, Санкт-Петербургский регион, Санкт-Петербург",3.76,19,https://tophotels.ru/hotel/al107292/reviews
Выборгская 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",3.55,39,https://tophotels.ru/hotel/al35011/reviews
Old Flat на Советской,"Россия, Санкт-Петербургский регион, Санкт-Петербург",3.51,19,https://tophotels.ru/hotel/al77093/reviews
Ладога-Отель 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.73,16,https://tophotels.ru/hotel/al24460/reviews
М-Отель 3*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.72,13,https://tophotels.ru/hotel/al90952/reviews
Астон 4*,"Россия, Санкт-Петербургский регион, Санкт-Петербург",4.59,15,https://tophotels.ru/hotel/al63091/reviews
