words,K
классно,0.040556099025142706
выпечка,0.0407337295948511
знакомство,0.04130499739188532
проездом,0.04150797499973141
клуб,0.04165055103673689
поверить,0.04178406603153843
фонтанка,0.04183618560557019
особенно,0.041988300634865056
момент,0.042006153581795824
масса,0.04221835965307732
отель расположение,0.04231733117659086
особо,0.042777735543970026
скромный,0.04303562486055845
аккуратно,0.04313034530808709
норма,0.04313752885345619
достаточно,0.0437183098932551
вернуться отель,0.04385611691204491
петербург отель,0.0440732664757415
народ,0.04467796745631697
выходной,0.04499545210260819
тур,0.04543568941367034
отдохнуть,0.04556465414658628
приготовить,0.04614168833270022
расположение,0.04629690200795479
перекусить,0.046319200271230765
некоторый,0.04758871226664678
взгляд,0.04764681650401677
плохой,0.04782650548317223
ситуация,0.047885504370347345
прибывания,0.048350022214872106
останавливаться гостиница,0.048721935062727414
радушный,0.04983372123074583
вокзал,0.04986531564533013
поставить,0.05049930657917496
семинар,0.05058689629835218
фен,0.05077546188533529
15,0.05220346643759619
есть,0.052249091417423156
недостаток,0.05278656750772763
хватать,0.05443131458525705
разнообразие,0.054441775481899886
нормальный,0.05455638248024741
уютный,0.05539441619615338
номер уютный,0.05969056947648494
стандартный,0.06073729681359604
выходить двор,0.06132347411480013
принцип,0.0618640135416173
вполне,0.07799276751429172
целое,0.08140263877089264
минус,0.10285650846427026
