words,K
единственный плюс,0.03862099774504165
отказаться,0.03873681879282449
включать,0.038912846143828506
холодный,0.03952101608275844
общага,0.03953992874002371
лицо,0.039745653991596144
извинение,0.03992668371402509
ответ,0.04126147243165053
раз,0.041782911004951656
волос,0.041792577934236214
пустой,0.04190677765466947
возможно,0.042181185110281426
скудный,0.042606031841287584
дверь,0.043239658302391286
принести,0.04325410020731581
плюс,0.043357823513768615
такой,0.04346466487223738
испортить,0.04363515219768698
вода,0.04393936864193138
пятно,0.04403791961229055
убогий,0.04427303504811271
предупредить,0.04427693766328848
мусор,0.04475732006533401
хотя,0.04527044921253158
плесень,0.0455748380416683
итог,0.04568556384428266
который,0.0458444649100047
тройка,0.04655445878346486
отсутствие,0.04718183277924496
совка,0.047222173107816595
отказать,0.04747996599225332
отсутствовать,0.04794087061517869
старый,0.04880979734556198
грязь,0.050201639010885146
вернуть,0.05026841712591378
сервис,0.05166636461418211
ужасно,0.0516704986073022
мочь,0.05424853584071592
запах,0.05603357697261711
октябрьский,0.056272809353695726
вонять,0.057222078784665266
ужас,0.05774507731386945
вод,0.05998124776312845
вообще,0.06465675520654421
обещать,0.06555750072428962
ждать,0.06622717368886348
деньга,0.06898309842386036
грязный,0.0698975860425088
ужасный,0.08716594155189887
отвратительный,0.11192956416574415
