words,K
безобразный,0.03256578166638853
свет,0.03281415783686275
стена,0.03335765205525948
сменить,0.03358730736424856
еле,0.0337516220345984
невкусный,0.03380663103620428
ответить,0.03381946473934676
соответствовать,0.033825816384074135
скудный,0.03419641096297219
захотеть,0.03431535753316079
грубый,0.03546697738988532
администратор,0.035574893187868405
номер старое,0.03565722829087233
ждать,0.03593878123544701
стройка,0.03617355782036142
поменять,0.03671158491633845
либо,0.03734740014183789
пятно,0.03795773210375199
ситуация,0.03829077666265611
местный,0.038318150455495976
нечего,0.0387326314379526
подумать,0.03877226508494598
мусор,0.038800412238441814
отношение,0.039283780079420114
зайти,0.039662811253108485
совка,0.039841313890409236
полотенце,0.04039195702265434
частный,0.04091031229082466
однообразный,0.04154498064305738
слово,0.04161325131697853
остальной,0.043265941378535365
столовка,0.04334112358156107
плюс,0.04354514693617161
приходиться,0.04416042064802103
единственный плюс,0.04599305225138861
старый,0.0460992702980983
короче,0.04624258166621231
советский,0.04680714643749265
сутки,0.048176938219609534
испортить,0.04851881770513007
нога,0.04923365583581415
ужасно,0.049666240617573736
кондиционер,0.05835161325202043
таракан,0.05943681158383451
ужас,0.06333996922699872
деньга,0.06513622787243668
ужасный,0.06663713680055866
грязный,0.07150486444866001
отсутствовать,0.07284911553456277
отвратительный,0.08312960172454667
